phi1,phi2,phi3,theta1,theta2,theta3,result
0,152,8,103,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3440>>
0,152,8,98,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3fc8>>
0,152,3,98,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea5f0>>
0,152,0,98,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea638>>
0,152,0,98,295,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea7a0>>
0,152,0,98,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea3f8>>
5,152,0,98,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e11b8>>
5,152,5,98,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea6c8>>
5,152,5,98,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea830>>
5,152,5,93,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea128>>
5,147,5,93,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea3b0>>
5,147,5,93,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea998>>
5,147,5,93,300,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea9e0>>
5,147,5,93,300,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaa28>>
5,147,10,93,300,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea710>>
5,147,5,93,300,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea878>>
5,152,5,93,300,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3f80>>
5,152,5,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea758>>
5,152,5,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea8c0>>
5,152,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eab48>>
5,157,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea440>>
10,157,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1bd8>>
5,157,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e39e0>>
5,157,5,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eacf8>>
5,157,10,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eab90>>
5,162,10,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea488>>
5,162,10,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaa70>>
5,162,10,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaab8>>
0,162,10,93,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3d40>>
0,162,10,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eae18>>
0,167,10,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea950>>
0,167,10,93,285,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eabd8>>
0,167,10,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eacb0>>
0,167,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaea8>>
5,167,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e35f0>>
5,162,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea7e8>>
5,157,5,93,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ead40>>
5,157,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea368>>
5,152,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eadd0>>
0,152,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3f38>>
0,157,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eac20>>
0,152,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ead88>>
0,152,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea560>>
5,152,5,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3ea8>>
5,152,0,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4200>>
5,147,0,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eafc8>>
10,147,0,88,290,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3dd0>>
10,147,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4128>>
5,147,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eab00>>
0,147,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea5a8>>
0,147,0,83,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaf80>>
0,147,0,83,295,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4488>>
0,152,0,83,295,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f40e0>>
0,152,0,83,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f45a8>>
0,152,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37eaef0>>
0,152,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f43f8>>
0,152,0,88,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4680>>
5,152,0,88,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea248>>
5,147,0,88,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4320>>
5,147,0,88,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f46c8>>
5,147,0,93,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4050>>
5,147,0,93,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4638>>
10,147,0,93,295,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea680>>
10,147,0,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4878>>
10,147,5,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4710>>
10,147,10,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4518>>
10,147,15,93,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f47a0>>
10,147,15,88,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4098>>
10,152,15,88,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4440>>
10,152,15,88,295,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4a28>>
10,152,10,88,295,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4950>>
15,152,10,88,295,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea908>>
15,147,10,88,295,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4560>>
15,147,10,88,290,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f47e8>>
15,142,10,88,290,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f45f0>>
15,142,10,88,290,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4b48>>
15,142,10,88,290,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4c20>>
15,142,10,88,290,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4c68>>
15,142,5,88,290,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4b00>>
15,142,5,88,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4cf8>>
15,142,5,93,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4290>>
15,137,5,93,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37f4368>>
